iteration	posterior	likelihood	prior	node_index	branch_start_time	branch_end_time	start_state	end_state	transition_time	transition_type	parent_index	child1_index	child2_index
0	-38.6664	-40.1773	1.51089	10	10	10	22222	22222	NA	no_change	NA	8	9
0	-38.6664	-40.1773	1.51089	8	10	3.36035	22222	22220	7.26233	anagenetic	10	6	7
0	-38.6664	-40.1773	1.51089	6	3.36035	1.27919	22220	22200	2.54952	anagenetic	8	5	4
0	-38.6664	-40.1773	1.51089	6	3.36035	1.27919	22200	22000	1.44206	anagenetic	8	5	4
0	-38.6664	-40.1773	1.51089	5	1.27919	0	22000	22000	NA	no_change	6	NA	NA
0	-38.6664	-40.1773	1.51089	4	1.27919	0	22000	22000	NA	no_change	6	NA	NA
0	-38.6664	-40.1773	1.51089	7	3.36035	0.153814	22220	20220	3.15487	anagenetic	8	3	2
0	-38.6664	-40.1773	1.51089	7	3.36035	0.153814	20220	00220	1.34078	anagenetic	8	3	2
0	-38.6664	-40.1773	1.51089	3	0.153814	0	00220	00220	NA	no_change	7	NA	NA
0	-38.6664	-40.1773	1.51089	2	0.153814	0	00220	00220	NA	no_change	7	NA	NA
0	-38.6664	-40.1773	1.51089	9	10	1.07914	22222	22022	9.23103	anagenetic	10	1	0
0	-38.6664	-40.1773	1.51089	9	10	1.07914	22022	02022	6.62774	anagenetic	10	1	0
0	-38.6664	-40.1773	1.51089	9	10	1.07914	02022	02002	6.31045	anagenetic	10	1	0
0	-38.6664	-40.1773	1.51089	9	10	1.07914	02002	00002	1.76298	anagenetic	10	1	0
0	-38.6664	-40.1773	1.51089	1	1.07914	0	00002	00002	NA	no_change	9	NA	NA
0	-38.6664	-40.1773	1.51089	0	1.07914	0	00002	00002	NA	no_change	9	NA	NA
10	-39.5432	-40.1954	0.652236	10	10	10	00020	00020	NA	no_change	NA	8	9
10	-39.5432	-40.1954	0.652236	8	10	3.36035	00020	00220	8.98917	anagenetic	10	6	7
10	-39.5432	-40.1954	0.652236	8	10	3.36035	00220	00020	5.52333	anagenetic	10	6	7
10	-39.5432	-40.1954	0.652236	6	3.36035	1.27919	00020	02020	2.19578	anagenetic	8	5	4
10	-39.5432	-40.1954	0.652236	6	3.36035	1.27919	02020	02000	1.66165	anagenetic	8	5	4
10	-39.5432	-40.1954	0.652236	5	1.27919	0	02000	22000	1.2223	anagenetic	6	NA	NA
10	-39.5432	-40.1954	0.652236	4	1.27919	0	02000	22000	0.0662443	anagenetic	6	NA	NA
10	-39.5432	-40.1954	0.652236	7	3.36035	0.153814	00020	00220	0.379575	anagenetic	8	3	2
10	-39.5432	-40.1954	0.652236	3	0.153814	0	00220	00220	NA	no_change	7	NA	NA
10	-39.5432	-40.1954	0.652236	2	0.153814	0	00220	00220	NA	no_change	7	NA	NA
10	-39.5432	-40.1954	0.652236	9	10	1.07914	00020	00022	7.93393	anagenetic	10	1	0
10	-39.5432	-40.1954	0.652236	9	10	1.07914	00022	00002	4.55109	anagenetic	10	1	0
10	-39.5432	-40.1954	0.652236	1	1.07914	0	00002	00002	NA	no_change	9	NA	NA
10	-39.5432	-40.1954	0.652236	0	1.07914	0	00002	00002	NA	no_change	9	NA	NA
20	-37.9068	-38.2419	0.335124	10	10	10	00020	00020	NA	no_change	NA	8	9
20	-37.9068	-38.2419	0.335124	8	10	3.36035	00020	00020	NA	no_change	10	6	7
20	-37.9068	-38.2419	0.335124	6	3.36035	1.27919	00020	02020	2.44334	anagenetic	8	5	4
20	-37.9068	-38.2419	0.335124	6	3.36035	1.27919	02020	02000	2.26504	anagenetic	8	5	4
20	-37.9068	-38.2419	0.335124	6	3.36035	1.27919	02000	22000	1.31344	anagenetic	8	5	4
20	-37.9068	-38.2419	0.335124	5	1.27919	0	22000	22000	NA	no_change	6	NA	NA
20	-37.9068	-38.2419	0.335124	4	1.27919	0	22000	22000	NA	no_change	6	NA	NA
20	-37.9068	-38.2419	0.335124	7	3.36035	0.153814	00020	00220	2.26305	anagenetic	8	3	2
20	-37.9068	-38.2419	0.335124	3	0.153814	0	00220	00220	NA	no_change	7	NA	NA
20	-37.9068	-38.2419	0.335124	2	0.153814	0	00220	00220	NA	no_change	7	NA	NA
20	-37.9068	-38.2419	0.335124	9	10	1.07914	00020	00022	8.53548	anagenetic	10	1	0
20	-37.9068	-38.2419	0.335124	9	10	1.07914	00022	00002	5.69657	anagenetic	10	1	0
20	-37.9068	-38.2419	0.335124	9	10	1.07914	00002	20002	5.0864	anagenetic	10	1	0
20	-37.9068	-38.2419	0.335124	9	10	1.07914	20002	00002	4.58018	anagenetic	10	1	0
20	-37.9068	-38.2419	0.335124	1	1.07914	0	00002	00002	NA	no_change	9	NA	NA
20	-37.9068	-38.2419	0.335124	0	1.07914	0	00002	00002	NA	no_change	9	NA	NA
30	-44.2712	-44.4485	0.177247	10	10	10	00020	00020	NA	no_change	NA	8	9
30	-44.2712	-44.4485	0.177247	8	10	3.36035	00020	20020	8.57112	anagenetic	10	6	7
30	-44.2712	-44.4485	0.177247	8	10	3.36035	20020	20220	4.64472	anagenetic	10	6	7
30	-44.2712	-44.4485	0.177247	8	10	3.36035	20220	20200	4.2356	anagenetic	10	6	7
30	-44.2712	-44.4485	0.177247	6	3.36035	1.27919	20200	22200	1.74754	anagenetic	8	5	4
30	-44.2712	-44.4485	0.177247	6	3.36035	1.27919	22200	22000	1.59486	anagenetic	8	5	4
30	-44.2712	-44.4485	0.177247	5	1.27919	0	22000	22000	NA	no_change	6	NA	NA
30	-44.2712	-44.4485	0.177247	4	1.27919	0	22000	22000	NA	no_change	6	NA	NA
30	-44.2712	-44.4485	0.177247	7	3.36035	0.153814	20200	00200	2.75852	anagenetic	8	3	2
30	-44.2712	-44.4485	0.177247	7	3.36035	0.153814	00200	00220	0.681283	anagenetic	8	3	2
30	-44.2712	-44.4485	0.177247	3	0.153814	0	00220	00220	NA	no_change	7	NA	NA
30	-44.2712	-44.4485	0.177247	2	0.153814	0	00220	00220	NA	no_change	7	NA	NA
30	-44.2712	-44.4485	0.177247	9	10	1.07914	00020	00022	6.39495	anagenetic	10	1	0
30	-44.2712	-44.4485	0.177247	9	10	1.07914	00022	00002	5.18258	anagenetic	10	1	0
30	-44.2712	-44.4485	0.177247	9	10	1.07914	00002	00202	2.50949	anagenetic	10	1	0
30	-44.2712	-44.4485	0.177247	9	10	1.07914	00202	00002	2.1354	anagenetic	10	1	0
30	-44.2712	-44.4485	0.177247	1	1.07914	0	00002	00002	NA	no_change	9	NA	NA
30	-44.2712	-44.4485	0.177247	0	1.07914	0	00002	00002	NA	no_change	9	NA	NA
40	-47.0028	-47.8041	0.801324	10	10	10	00020	00020	NA	no_change	NA	8	9
40	-47.0028	-47.8041	0.801324	8	10	3.36035	00020	00220	8.8214	anagenetic	10	6	7
40	-47.0028	-47.8041	0.801324	6	3.36035	1.27919	00220	00222	2.8669	anagenetic	8	5	4
40	-47.0028	-47.8041	0.801324	6	3.36035	1.27919	00222	00220	2.32175	anagenetic	8	5	4
40	-47.0028	-47.8041	0.801324	6	3.36035	1.27919	00220	20220	2.15447	anagenetic	8	5	4
40	-47.0028	-47.8041	0.801324	6	3.36035	1.27919	20220	20200	1.8689	anagenetic	8	5	4
40	-47.0028	-47.8041	0.801324	6	3.36035	1.27919	20200	20000	1.45038	anagenetic	8	5	4
40	-47.0028	-47.8041	0.801324	5	1.27919	0	20000	22000	0.252063	anagenetic	6	NA	NA
40	-47.0028	-47.8041	0.801324	4	1.27919	0	20000	22000	0.962174	anagenetic	6	NA	NA
40	-47.0028	-47.8041	0.801324	7	3.36035	0.153814	00220	00220	NA	no_change	8	3	2
40	-47.0028	-47.8041	0.801324	3	0.153814	0	00220	00220	NA	no_change	7	NA	NA
40	-47.0028	-47.8041	0.801324	2	0.153814	0	00220	00220	NA	no_change	7	NA	NA
40	-47.0028	-47.8041	0.801324	9	10	1.07914	00020	00022	9.88537	anagenetic	10	1	0
40	-47.0028	-47.8041	0.801324	9	10	1.07914	00022	02022	9.76932	anagenetic	10	1	0
40	-47.0028	-47.8041	0.801324	9	10	1.07914	02022	02002	9.57261	anagenetic	10	1	0
40	-47.0028	-47.8041	0.801324	9	10	1.07914	02002	00002	3.36084	anagenetic	10	1	0
40	-47.0028	-47.8041	0.801324	1	1.07914	0	00002	00002	NA	no_change	9	NA	NA
40	-47.0028	-47.8041	0.801324	0	1.07914	0	00002	00002	NA	no_change	9	NA	NA
50	-32.7376	-34.0202	1.28259	10	10	10	20002	20002	NA	no_change	NA	8	9
50	-32.7376	-34.0202	1.28259	8	10	3.36035	20002	20000	8.44482	anagenetic	10	6	7
50	-32.7376	-34.0202	1.28259	8	10	3.36035	20000	22000	5.35246	anagenetic	10	6	7
50	-32.7376	-34.0202	1.28259	6	3.36035	1.27919	22000	22000	NA	no_change	8	5	4
50	-32.7376	-34.0202	1.28259	5	1.27919	0	22000	22000	NA	no_change	6	NA	NA
50	-32.7376	-34.0202	1.28259	4	1.27919	0	22000	22000	NA	no_change	6	NA	NA
50	-32.7376	-34.0202	1.28259	7	3.36035	0.153814	22000	22020	3.33375	anagenetic	8	3	2
50	-32.7376	-34.0202	1.28259	7	3.36035	0.153814	22020	02020	3.03364	anagenetic	8	3	2
50	-32.7376	-34.0202	1.28259	7	3.36035	0.153814	02020	00020	0.449955	anagenetic	8	3	2
50	-32.7376	-34.0202	1.28259	7	3.36035	0.153814	00020	00220	0.383697	anagenetic	8	3	2
50	-32.7376	-34.0202	1.28259	3	0.153814	0	00220	00220	NA	no_change	7	NA	NA
