Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-38.66637	-40.17726	1.510895	0.02662586	0.525432	0.525432	0.09090909	0.9090909	1e-06	0.0909091	1e-06	1e-06	0.909091	1e-06	0.0909091	0.909091
10	-39.54317	-40.19541	0.6522363	0.06876239	0.962725	0.962725	0.4424091	0.5575909	1e-06	0.442409	1e-06	1e-06	0.557591	1e-06	0.442409	0.557591
20	-37.90677	-38.24189	0.3351236	0.1320512	0.64695	0.64695	0.1052511	0.8947489	1e-06	0.105251	1e-06	1e-06	0.894749	1e-06	0.105251	0.894749
30	-44.27124	-44.44849	0.1772467	0.1658024	0.467315	0.467315	0.2720763	0.7279237	1e-06	0.272076	1e-06	1e-06	0.727924	1e-06	0.272076	0.727924
40	-47.00278	-47.8041	0.8013242	0.1140431	0.36083	0.36083	0.4132557	0.5867443	1e-06	0.413256	1e-06	1e-06	0.586744	1e-06	0.413256	0.586744
50	-32.73763	-34.02022	1.282591	0.0533228	0.486767	0.486767	0.1777708	0.8222292	1e-06	0.177771	1e-06	1e-06	0.822229	1e-06	0.177771	0.822229
60	-37.26774	-38.44028	1.172543	0.08241298	0.305912	0.305912	0.2213524	0.7786476	1e-06	0.221352	1e-06	1e-06	0.778648	1e-06	0.221352	0.778648
70	-31.98655	-33.4999	1.513352	0.06988526	0.0903805	0.0903805	0.08261796	0.917382	1e-06	0.082618	1e-06	1e-06	0.917382	1e-06	0.082618	0.917382
80	-31.106	-32.68586	1.579853	0.05744724	0.148259	0.148259	0.3408434	0.6591566	1e-06	0.340843	1e-06	1e-06	0.659157	1e-06	0.340843	0.659157
90	-43.83255	-44.79237	0.959822	0.1205833	0.136931	0.136931	0.4307444	0.5692556	1e-06	0.430744	1e-06	1e-06	0.569256	1e-06	0.430744	0.569256
100	-50.32825	-50.52554	0.1972862	0.1695956	0.409343	0.409343	0.3110786	0.6889214	1e-06	0.311079	1e-06	1e-06	0.688921	1e-06	0.311079	0.688921
