iteration	posterior	likelihood	prior	node_index	branch_start_time	branch_end_time	start_state	end_state	transition_time	transition_type	parent_index	child1_index	child2_index
0	-35.8401	-36.3343	0.494233	10	10	10	22022	22022	NA	no_change	NA	8	9
0	-35.8401	-36.3343	0.494233	8	10	3.36035	22022	22020	3.7584	anagenetic	10	6	7
0	-35.8401	-36.3343	0.494233	6	3.36035	1.27919	22020	22000	2.21572	anagenetic	8	5	4
0	-35.8401	-36.3343	0.494233	5	1.27919	0	22000	22000	NA	no_change	6	NA	NA
0	-35.8401	-36.3343	0.494233	4	1.27919	0	22000	22000	NA	no_change	6	NA	NA
0	-35.8401	-36.3343	0.494233	7	3.36035	0.153814	22020	22220	2.64582	anagenetic	8	3	2
0	-35.8401	-36.3343	0.494233	7	3.36035	0.153814	22220	20220	2.59592	anagenetic	8	3	2
0	-35.8401	-36.3343	0.494233	7	3.36035	0.153814	20220	00220	0.171107	anagenetic	8	3	2
0	-35.8401	-36.3343	0.494233	3	0.153814	0	00220	00220	NA	no_change	7	NA	NA
0	-35.8401	-36.3343	0.494233	2	0.153814	0	00220	00220	NA	no_change	7	NA	NA
0	-35.8401	-36.3343	0.494233	9	10	1.07914	22022	02022	7.45922	anagenetic	10	1	0
0	-35.8401	-36.3343	0.494233	9	10	1.07914	02022	00022	5.58019	anagenetic	10	1	0
0	-35.8401	-36.3343	0.494233	9	10	1.07914	00022	00002	5.39193	anagenetic	10	1	0
0	-35.8401	-36.3343	0.494233	1	1.07914	0	00002	00002	NA	no_change	9	NA	NA
0	-35.8401	-36.3343	0.494233	0	1.07914	0	00002	00002	NA	no_change	9	NA	NA
10	-50.2931	-49.9972	-0.295847	10	10	10	20022	20022	NA	no_change	NA	8	9
10	-50.2931	-49.9972	-0.295847	8	10	3.36035	20022	20020	9.3795	anagenetic	10	6	7
10	-50.2931	-49.9972	-0.295847	8	10	3.36035	20020	20022	8.79148	anagenetic	10	6	7
10	-50.2931	-49.9972	-0.295847	8	10	3.36035	20022	00022	8.47276	anagenetic	10	6	7
10	-50.2931	-49.9972	-0.295847	8	10	3.36035	00022	02022	3.48151	anagenetic	10	6	7
10	-50.2931	-49.9972	-0.295847	8	10	3.36035	02022	02020	3.44481	anagenetic	10	6	7
10	-50.2931	-49.9972	-0.295847	6	3.36035	1.27919	02020	02000	2.65825	anagenetic	8	5	4
10	-50.2931	-49.9972	-0.295847	6	3.36035	1.27919	02000	22000	1.98843	anagenetic	8	5	4
10	-50.2931	-49.9972	-0.295847	5	1.27919	0	22000	22000	NA	no_change	6	NA	NA
10	-50.2931	-49.9972	-0.295847	4	1.27919	0	22000	22000	NA	no_change	6	NA	NA
10	-50.2931	-49.9972	-0.295847	7	3.36035	0.153814	02020	02000	2.2454	anagenetic	8	3	2
10	-50.2931	-49.9972	-0.295847	7	3.36035	0.153814	02000	02020	1.39716	anagenetic	8	3	2
10	-50.2931	-49.9972	-0.295847	7	3.36035	0.153814	02020	00020	0.59447	anagenetic	8	3	2
10	-50.2931	-49.9972	-0.295847	7	3.36035	0.153814	00020	00220	0.514197	anagenetic	8	3	2
10	-50.2931	-49.9972	-0.295847	3	0.153814	0	00220	00220	NA	no_change	7	NA	NA
10	-50.2931	-49.9972	-0.295847	2	0.153814	0	00220	00220	NA	no_change	7	NA	NA
10	-50.2931	-49.9972	-0.295847	9	10	1.07914	20022	20002	8.68176	anagenetic	10	1	0
10	-50.2931	-49.9972	-0.295847	9	10	1.07914	20002	00002	8.5195	anagenetic	10	1	0
10	-50.2931	-49.9972	-0.295847	1	1.07914	0	00002	00002	NA	no_change	9	NA	NA
10	-50.2931	-49.9972	-0.295847	0	1.07914	0	00002	00002	NA	no_change	9	NA	NA
20	-44.4077	-44.6761	0.268353	10	10	10	20022	20022	NA	no_change	NA	8	9
20	-44.4077	-44.6761	0.268353	8	10	3.36035	20022	20002	7.8317	anagenetic	10	6	7
20	-44.4077	-44.6761	0.268353	8	10	3.36035	20002	20000	7.04209	anagenetic	10	6	7
20	-44.4077	-44.6761	0.268353	8	10	3.36035	20000	20002	6.5645	anagenetic	10	6	7
20	-44.4077	-44.6761	0.268353	8	10	3.36035	20002	22002	6.36635	anagenetic	10	6	7
20	-44.4077	-44.6761	0.268353	8	10	3.36035	22002	22000	4.0079	anagenetic	10	6	7
20	-44.4077	-44.6761	0.268353	6	3.36035	1.27919	22000	22000	NA	no_change	8	5	4
20	-44.4077	-44.6761	0.268353	5	1.27919	0	22000	22000	NA	no_change	6	NA	NA
20	-44.4077	-44.6761	0.268353	4	1.27919	0	22000	22000	NA	no_change	6	NA	NA
20	-44.4077	-44.6761	0.268353	7	3.36035	0.153814	22000	22200	2.96022	anagenetic	8	3	2
20	-44.4077	-44.6761	0.268353	7	3.36035	0.153814	22200	22220	1.87579	anagenetic	8	3	2
