Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-35.84012	-36.33435	0.4942325	0.1241023	0.567329	0.567329	0.09090909	0.9090909	1e-06	0.0909091	1e-06	1e-06	0.909091	1e-06	0.0909091	0.909091
10	-50.29307	-49.99723	-0.2958475	0.1871326	0.727106	0.727106	0.2692876	0.7307124	1e-06	0.269288	1e-06	1e-06	0.730712	1e-06	0.269288	0.730712
20	-44.40775	-44.6761	0.2683534	0.1316485	0.717747	0.717747	0.2675228	0.7324772	1e-06	0.267523	1e-06	1e-06	0.732477	1e-06	0.267523	0.732477
30	-33.67979	-32.16688	-1.512905	0.1309797	2.50569	2.50569	0.284873	0.715127	1e-06	0.284873	1e-06	1e-06	0.715127	1e-06	0.284873	0.715127
40	-40.83242	-39.04691	-1.785511	0.143347	2.65463	2.65463	0.2556408	0.7443592	1e-06	0.255641	1e-06	1e-06	0.744359	1e-06	0.255641	0.744359
50	-36.25516	-35.43937	-0.8157827	0.07878164	2.33055	2.33055	0.1424595	0.8575405	1e-06	0.14246	1e-06	1e-06	0.85754	1e-06	0.14246	0.85754
60	-35.14671	-35.81257	0.6658545	0.09994681	0.637262	0.637262	0.4042544	0.5957456	1e-06	0.404254	1e-06	1e-06	0.595746	1e-06	0.404254	0.595746
70	-31.98335	-32.85043	0.8670843	0.1049444	0.386056	0.386056	0.2176146	0.7823854	1e-06	0.217615	1e-06	1e-06	0.782385	1e-06	0.217615	0.782385
80	-33.67283	-33.42172	-0.251108	0.09932548	1.56044	1.56044	0.3123178	0.6876822	1e-06	0.312318	1e-06	1e-06	0.687682	1e-06	0.312318	0.687682
90	-45.07401	-44.31682	-0.7571956	0.1904897	1.15488	1.15488	0.5212155	0.4787845	1e-06	0.521216	1e-06	1e-06	0.478784	1e-06	0.521216	0.478784
100	-31.81419	-32.85809	1.043907	0.04969162	0.761762	0.761762	0.8293511	0.1706489	1e-06	0.829351	1e-06	1e-06	0.170649	1e-06	0.829351	0.170649
110	-39.56143	-38.72125	-0.840183	0.1108672	2.0341	2.0341	0.3330235	0.6669765	1e-06	0.333024	1e-06	1e-06	0.666976	1e-06	0.333024	0.666976
120	-37.81858	-36.43134	-1.387243	0.2475597	1.21423	1.21423	0.2788601	0.7211399	1e-06	0.27886	1e-06	1e-06	0.72114	1e-06	0.27886	0.72114
130	-36.43928	-36.99202	0.5527393	0.06588095	1.09104	1.09104	0.4779261	0.5220739	1e-06	0.477926	1e-06	1e-06	0.522074	1e-06	0.477926	0.522074
140	-35.23433	-35.8712	0.6368687	0.1091354	0.574363	0.574363	0.1453577	0.8546423	1e-06	0.145358	1e-06	1e-06	0.854642	1e-06	0.145358	0.854642
150	-34.0786	-34.8233	0.7447013	0.04716236	1.08626	1.08626	0.5277499	0.4722501	1e-06	0.52775	1e-06	1e-06	0.47225	1e-06	0.52775	0.47225
160	-32.73412	-33.47261	0.7384835	0.08924446	0.671657	0.671657	0.2302683	0.7697317	1e-06	0.230268	1e-06	1e-06	0.769732	1e-06	0.230268	0.769732
170	-41.5355	-40.01653	-1.51897	0.1553248	2.26831	2.26831	0.2053272	0.7946728	1e-06	0.205327	1e-06	1e-06	0.794673	1e-06	0.205327	0.794673
180	-37.3828	-36.98504	-0.3977605	0.08795509	1.82079	1.82079	0.4129979	0.5870021	1e-06	0.412998	1e-06	1e-06	0.587002	1e-06	0.412998	0.587002
